日付,郵便番号,店舗,商品,売り上げ
2024-01-01,1234567,hoge店舗,インスタントラーメン,100
2024-01-02,1234567,hoge店舗,インスタントラーメン,120
2024-01-03,1234567,hoge店舗,インスタントラーメン,110
2024-01-04,1234567,hoge店舗,インスタントラーメン,115
2024-01-05,1234567,hoge店舗,インスタントラーメン,105
2024-01-06,1234567,hoge店舗,インスタントラーメン,125
2024-01-07,1234567,hoge店舗,インスタントラーメン,130
2024-01-08,1234567,hoge店舗,インスタントラーメン,135
2024-01-09,1234567,hoge店舗,インスタントラーメン,140
2024-01-10,1234567,hoge店舗,インスタントラーメン,145
2024-01-11,1234567,hoge店舗,インスタントラーメン,150
2024-01-12,1234567,hoge店舗,インスタントラーメン,155
2024-01-13,1234567,hoge店舗,インスタントラーメン,160
2024-01-14,1234567,hoge店舗,インスタントラーメン,165
2024-01-15,1234567,hoge店舗,インスタントラーメン,170
2024-01-16,1234567,hoge店舗,インスタントラーメン,175
2024-01-17,1234567,hoge店舗,インスタントラーメン,180
2024-01-18,1234567,hoge店舗,インスタントラーメン,185
2024-01-19,1234567,hoge店舗,インスタントラーメン,190
2024-01-20,1234567,hoge店舗,インスタントラーメン,195
2024-01-21,1234567,hoge店舗,インスタントラーメン,200
2024-01-22,1234567,hoge店舗,インスタントラーメン,205
2024-01-23,1234567,hoge店舗,インスタントラーメン,210
2024-01-24,1234567,hoge店舗,インスタントラーメン,215
2024-01-25,1234567,hoge店舗,インスタントラーメン,220
2024-01-26,1234567,hoge店舗,インスタントラーメン,225
2024-01-27,1234567,hoge店舗,インスタントラーメン,230
2024-01-28,1234567,hoge店舗,インスタントラーメン,235
2024-01-29,1234567,hoge店舗,インスタントラーメン,240
2024-01-30,1234567,hoge店舗,インスタントラーメン,245
2024-01-31,1234567,hoge店舗,インスタントラーメン,250
2024-02-01,1234567,hoge店舗,インスタントラーメン,255
2024-02-02,1234567,hoge店舗,インスタントラーメン,260
2024-02-03,1234567,hoge店舗,インスタントラーメン,265
2024-02-04,1234567,hoge店舗,インスタントラーメン,270
2024-02-05,1234567,hoge店舗,インスタントラーメン,275
2024-02-06,1234567,hoge店舗,インスタントラーメン,280
2024-02-07,1234567,hoge店舗,インスタントラーメン,285
2024-02-08,1234567,hoge店舗,インスタントラーメン,290
2024-02-09,1234567,hoge店舗,インスタントラーメン,295
2024-02-10,1234567,hoge店舗,インスタントラーメン,300
2024-02-11,1234567,hoge店舗,インスタントラーメン,305
2024-02-12,1234567,hoge店舗,インスタントラーメン,310
